"module name","license","repository"
"@inrupt/oidc-dpop-client-browser@0.2.0","MIT",""
"@inrupt/solid-client-authn-browser@0.2.0","MIT","https://github.com/inrupt/solid-client-authn"
"@inrupt/solid-client-authn-core@0.2.0","MIT","https://github.com/inrupt/solid-client-authn"
"@panva/asn1.js@1.0.0","MIT","https://github.com/panva/asn1.js"
"@types/form-urlencoded@2.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jjv@1.0.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@8.5.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash.clonedeep@4.5.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.161","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-jose@1.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.11.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/url-parse@1.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@8.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abstract-leveldown@0.12.4","MIT","https://github.com/rvagg/node-abstract-leveldown"
"asn1.js@5.4.1","MIT","https://github.com/indutny/asn1.js"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"base64url@3.0.1","MIT","https://github.com/brianloveswords/base64url"
"bl@0.8.2","MIT","https://github.com/rvagg/bl"
"bn.js@4.11.9","MIT","https://github.com/indutny/bn.js"
"bn.js@5.1.3","MIT","https://github.com/indutny/bn.js"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand"
"browserify-aes@1.2.0","MIT","https://github.com/crypto-browserify/browserify-aes"
"browserify-cipher@1.0.1","MIT","https://github.com/crypto-browserify/browserify-cipher"
"browserify-des@1.0.2","MIT","https://github.com/crypto-browserify/browserify-des"
"browserify-fs@1.0.0","MIT*","https://github.com/mafintosh/browserify-fs"
"browserify-rsa@4.0.1","MIT","https://github.com/crypto-browserify/browserify-rsa"
"browserify-sign@4.2.1","ISC","https://github.com/crypto-browserify/browserify-sign"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-es6@4.9.3","MIT","https://github.com/calvinmetcalf/buffer-es6"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"buffer-xor@1.0.3","MIT","https://github.com/crypto-browserify/buffer-xor"
"buffer@5.6.0","MIT","https://github.com/feross/buffer"
"build-module@1.0.7","ISC","https://github.com/bnwan/buildModule"
"cipher-base@1.0.4","MIT","https://github.com/crypto-browserify/cipher-base"
"clone@0.1.19","MIT","https://github.com/pvorb/node-clone"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"core-js@2.6.11","MIT","https://github.com/zloirock/core-js"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"create-ecdh@4.0.4","MIT","https://github.com/crypto-browserify/createECDH"
"create-hash@1.2.0","MIT","https://github.com/crypto-browserify/createHash"
"create-hmac@1.1.7","MIT","https://github.com/crypto-browserify/createHmac"
"cross-fetch@3.0.6","MIT","https://github.com/lquixada/cross-fetch"
"crypto-browserify@3.12.0","MIT","https://github.com/crypto-browserify/crypto-browserify"
"crypto-js@3.3.0","MIT","https://github.com/brix/crypto-js"
"crypto-random-string@3.3.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"deferred-leveldown@0.2.0","MIT","https://github.com/Level/deferred-leveldown"
"des.js@1.0.1","MIT","https://github.com/indutny/des.js"
"diffie-hellman@5.0.3","MIT","https://github.com/crypto-browserify/diffie-hellman"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"elliptic@6.5.3","MIT","https://github.com/indutny/elliptic"
"errno@0.1.7","MIT","https://github.com/rvagg/node-errno"
"es6-promise@4.2.8","MIT","https://github.com/stefanpenner/es6-promise"
"evp_bytestokey@1.0.3","MIT","https://github.com/crypto-browserify/EVP_BytesToKey"
"foreach@2.0.5","MIT","https://github.com/manuelstofer/foreach"
"form-urlencoded@4.2.1","MIT","https://github.com/iambumblehead/form-urlencoded"
"fwd-stream@1.0.4","MIT*","https://github.com/mafintosh/fwd-stream"
"hash-base@3.1.0","MIT","https://github.com/crypto-browserify/hash-base"
"hash.js@1.1.7","MIT","https://github.com/indutny/hash.js"
"hmac-drbg@1.0.1","MIT","https://github.com/indutny/hmac-drbg"
"idb-wrapper@1.7.2","MIT","https://github.com/jensarps/IDBWrapper"
"ieee754@1.1.13","BSD-3-Clause","https://github.com/feross/ieee754"
"indexof@0.0.1","MIT*",""
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"is-object@0.1.2","MIT","https://github.com/Colingo/is-object"
"is@0.2.7","MIT*","https://github.com/enricomarino/is"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isbuffer@0.0.0","MIT","https://github.com/juliangruber/isbuffer"
"jose@2.0.2","MIT","https://github.com/panva/jose"
"jsonwebtoken@8.5.1","MIT","https://github.com/auth0/node-jsonwebtoken"
"jwa@1.4.1","MIT","https://github.com/brianloveswords/node-jwa"
"jws@3.2.2","MIT","https://github.com/brianloveswords/node-jws"
"level-blobs@0.1.7","MIT*","https://github.com/mafintosh/level-blobs"
"level-filesystem@1.2.0","MIT*","https://github.com/mafintosh/level-filesystem"
"level-fix-range@1.0.2","MIT","https://github.com/dominictarr/level-fix-range"
"level-fix-range@2.0.0","MIT","https://github.com/dominictarr/level-fix-range"
"level-hooks@4.5.0","MIT*","https://github.com/dominictarr/level-hooks"
"level-js@2.2.4","BSD-2-Clause","https://github.com/maxogden/level.js"
"level-peek@1.0.6","MIT","https://github.com/dominictarr/level-peek"
"level-sublevel@5.2.3","MIT","https://github.com/dominictarr/level-sublevel"
"levelup@0.18.6","MIT","https://github.com/rvagg/node-levelup"
"lodash.clonedeep@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.includes@4.3.0","MIT","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","https://github.com/lodash/lodash"
"lodash@4.17.20","MIT","https://github.com/lodash/lodash"
"long@4.0.0","Apache-2.0","https://github.com/dcodeIO/long.js"
"ltgt@2.2.1","MIT","https://github.com/dominictarr/ltgt"
"md5.js@1.3.5","MIT","https://github.com/crypto-browserify/md5.js"
"miller-rabin@4.0.1","MIT","https://github.com/indutny/miller-rabin"
"minimalistic-assert@1.0.1","ISC","https://github.com/calvinmetcalf/minimalistic-assert"
"minimalistic-crypto-utils@1.0.1","MIT","https://github.com/indutny/minimalistic-crypto-utils"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"node-fetch@2.6.1","MIT","https://github.com/bitinn/node-fetch"
"node-forge@0.10.0","(BSD-3-Clause OR GPL-2.0)","https://github.com/digitalbazaar/forge"
"node-jose@2.0.0","Apache-2.0","https://github.com/cisco/node-jose"
"object-keys@0.2.0","MIT","https://github.com/ljharb/object-keys"
"object-keys@0.4.0","MIT","https://github.com/ljharb/object-keys"
"octal@1.0.0","MIT","https://github.com/mafintosh/octal"
"oidc-client@1.10.1","Apache-2.0","https://github.com/IdentityModel/oidc-client-js"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"pako@1.0.11","(MIT AND Zlib)","https://github.com/nodeca/pako"
"parse-asn1@5.1.6","ISC","https://github.com/crypto-browserify/parse-asn1"
"pbkdf2@3.1.1","MIT","https://github.com/crypto-browserify/pbkdf2"
"process-es6@0.11.6","MIT","https://github.com/calvinmetcalf/node-process-es6"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"process@0.11.10","MIT","https://github.com/shtylman/node-process"
"prr@0.0.0","MIT","https://github.com/rvagg/prr"
"prr@1.0.1","MIT","https://github.com/rvagg/prr"
"public-encrypt@4.0.3","MIT","https://github.com/crypto-browserify/publicEncrypt"
"querystringify@2.2.0","MIT","https://github.com/unshiftio/querystringify"
"randombytes@2.1.0","MIT","https://github.com/crypto-browserify/randombytes"
"randomfill@1.0.4","MIT","https://github.com/crypto-browserify/randomfill"
"readable-stream@1.0.34","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@1.1.14","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@2.3.7","MIT","https://github.com/nodejs/readable-stream"
"readable-stream@3.6.0","MIT","https://github.com/nodejs/readable-stream"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"ripemd160@2.0.2","MIT","https://github.com/crypto-browserify/ripemd160"
"rollup-plugin-node-builtins@2.1.2","ISC","https://github.com/calvinmetcalf/rollup-plugin-node-builtins"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@2.3.2","BSD*","https://github.com/isaacs/node-semver"
"semver@5.7.1","ISC","https://github.com/npm/node-semver"
"sha.js@2.4.11","(MIT AND BSD-3-Clause)","https://github.com/crypto-browserify/sha.js"
"string-range@1.2.2","MIT","https://github.com/dominictarr/string-range"
"string_decoder@0.10.31","MIT","https://github.com/rvagg/string_decoder"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"tslib@1.13.0","0BSD","https://github.com/Microsoft/tslib"
"type-fest@0.8.1","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"typedarray-to-buffer@1.0.4","MIT","https://github.com/feross/typedarray-to-buffer"
"typedarray@0.0.6","MIT","https://github.com/substack/typedarray"
"url-parse@1.4.7","MIT","https://github.com/unshiftio/url-parse"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"uuid@3.4.0","MIT","https://github.com/uuidjs/uuid"
"uuid@8.3.1","MIT","https://github.com/uuidjs/uuid"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xtend@2.0.6","MIT","https://github.com/Raynos/xtend"
"xtend@2.1.2","MIT","https://github.com/Raynos/xtend"
"xtend@2.2.0","MIT","https://github.com/Raynos/xtend"
"xtend@3.0.0","MIT","https://github.com/Raynos/xtend"